,survived,pclass,sex,age,sibsp,parch,fare,embarked,who,alone
0,0,3,0,22.0,1,0,7.25,0,0,0
1,1,1,1,38.0,1,0,71.2833,1,1,0
2,1,3,1,26.0,0,0,7.925,0,1,1
3,1,1,1,35.0,1,0,53.1,0,1,0
4,0,3,0,35.0,0,0,8.05,0,0,1
5,0,3,0,28.0,0,0,8.4583,2,0,1
6,0,1,0,54.0,0,0,51.8625,0,0,1
7,0,3,0,2.0,3,1,21.075,0,2,0
8,1,3,1,27.0,0,2,11.1333,0,1,0
9,1,2,1,14.0,1,0,30.0708,1,2,0
10,1,3,1,4.0,1,1,16.7,0,2,0
11,1,1,1,58.0,0,0,26.55,0,1,1
12,0,3,0,20.0,0,0,8.05,0,0,1
13,0,3,0,39.0,1,5,31.275,0,0,0
14,0,3,1,14.0,0,0,7.8542,0,2,1
15,1,2,1,55.0,0,0,16.0,0,1,1
16,0,3,0,2.0,4,1,29.125,2,2,0
17,1,2,0,28.0,0,0,13.0,0,0,1
18,0,3,1,31.0,1,0,18.0,0,1,0
19,1,3,1,28.0,0,0,7.225,1,1,1
20,0,2,0,35.0,0,0,26.0,0,0,1
21,1,2,0,34.0,0,0,13.0,0,0,1
22,1,3,1,15.0,0,0,8.0292,2,2,1
23,1,1,0,28.0,0,0,35.5,0,0,1
24,0,3,1,8.0,3,1,21.075,0,2,0
25,1,3,1,38.0,1,5,31.3875,0,1,0
26,0,3,0,28.0,0,0,7.225,1,0,1
27,0,1,0,19.0,3,2,263.0,0,0,0
28,1,3,1,28.0,0,0,7.8792,2,1,1
29,0,3,0,28.0,0,0,7.8958,0,0,1
30,0,1,0,40.0,0,0,27.7208,1,0,1
31,1,1,1,28.0,1,0,146.5208,1,1,0
32,1,3,1,28.0,0,0,7.75,2,1,1
33,0,2,0,66.0,0,0,10.5,0,0,1
34,0,1,0,28.0,1,0,82.1708,1,0,0
35,0,1,0,42.0,1,0,52.0,0,0,0
36,1,3,0,28.0,0,0,7.2292,1,0,1
37,0,3,0,21.0,0,0,8.05,0,0,1
38,0,3,1,18.0,2,0,18.0,0,1,0
39,1,3,1,14.0,1,0,11.2417,1,2,0
40,0,3,1,40.0,1,0,9.475,0,1,0
41,0,2,1,27.0,1,0,21.0,0,1,0
42,0,3,0,28.0,0,0,7.8958,1,0,1
43,1,2,1,3.0,1,2,41.5792,1,2,0
44,1,3,1,19.0,0,0,7.8792,2,1,1
45,0,3,0,28.0,0,0,8.05,0,0,1
46,0,3,0,28.0,1,0,15.5,2,0,0
47,1,3,1,28.0,0,0,7.75,2,1,1
48,0,3,0,28.0,2,0,21.6792,1,0,0
49,0,3,1,18.0,1,0,17.8,0,1,0
50,0,3,0,7.0,4,1,39.6875,0,2,0
51,0,3,0,21.0,0,0,7.8,0,0,1
52,1,1,1,49.0,1,0,76.7292,1,1,0
53,1,2,1,29.0,1,0,26.0,0,1,0
54,0,1,0,65.0,0,1,61.9792,1,0,0
55,1,1,0,28.0,0,0,35.5,0,0,1
56,1,2,1,21.0,0,0,10.5,0,1,1
57,0,3,0,28.5,0,0,7.2292,1,0,1
58,1,2,1,5.0,1,2,27.75,0,2,0
59,0,3,0,11.0,5,2,46.9,0,2,0
60,0,3,0,22.0,0,0,7.2292,1,0,1
61,1,1,1,38.0,0,0,80.0,0,1,1
62,0,1,0,45.0,1,0,83.475,0,0,0
63,0,3,0,4.0,3,2,27.9,0,2,0
64,0,1,0,28.0,0,0,27.7208,1,0,1
65,1,3,0,28.0,1,1,15.2458,1,0,0
66,1,2,1,29.0,0,0,10.5,0,1,1
67,0,3,0,19.0,0,0,8.1583,0,0,1
68,1,3,1,17.0,4,2,7.925,0,1,0
69,0,3,0,26.0,2,0,8.6625,0,0,0
70,0,2,0,32.0,0,0,10.5,0,0,1
71,0,3,1,16.0,5,2,46.9,0,1,0
72,0,2,0,21.0,0,0,73.5,0,0,1
73,0,3,0,26.0,1,0,14.4542,1,0,0
74,1,3,0,32.0,0,0,56.4958,0,0,1
75,0,3,0,25.0,0,0,7.65,0,0,1
76,0,3,0,28.0,0,0,7.8958,0,0,1
77,0,3,0,28.0,0,0,8.05,0,0,1
78,1,2,0,0.83,0,2,29.0,0,2,0
79,1,3,1,30.0,0,0,12.475,0,1,1
80,0,3,0,22.0,0,0,9.0,0,0,1
81,1,3,0,29.0,0,0,9.5,0,0,1
82,1,3,1,28.0,0,0,7.7875,2,1,1
83,0,1,0,28.0,0,0,47.1,0,0,1
84,1,2,1,17.0,0,0,10.5,0,1,1
85,1,3,1,33.0,3,0,15.85,0,1,0
86,0,3,0,16.0,1,3,34.375,0,0,0
87,0,3,0,28.0,0,0,8.05,0,0,1
88,1,1,1,23.0,3,2,263.0,0,1,0
89,0,3,0,24.0,0,0,8.05,0,0,1
90,0,3,0,29.0,0,0,8.05,0,0,1
91,0,3,0,20.0,0,0,7.8542,0,0,1
92,0,1,0,46.0,1,0,61.175,0,0,0
93,0,3,0,26.0,1,2,20.575,0,0,0
94,0,3,0,59.0,0,0,7.25,0,0,1
95,0,3,0,28.0,0,0,8.05,0,0,1
96,0,1,0,71.0,0,0,34.6542,1,0,1
97,1,1,0,23.0,0,1,63.3583,1,0,0
98,1,2,1,34.0,0,1,23.0,0,1,0
99,0,2,0,34.0,1,0,26.0,0,0,0
100,0,3,1,28.0,0,0,7.8958,0,1,1
101,0,3,0,28.0,0,0,7.8958,0,0,1
102,0,1,0,21.0,0,1,77.2875,0,0,0
103,0,3,0,33.0,0,0,8.6542,0,0,1
104,0,3,0,37.0,2,0,7.925,0,0,0
105,0,3,0,28.0,0,0,7.8958,0,0,1
106,1,3,1,21.0,0,0,7.65,0,1,1
107,1,3,0,28.0,0,0,7.775,0,0,1
108,0,3,0,38.0,0,0,7.8958,0,0,1
109,1,3,1,28.0,1,0,24.15,2,1,0
110,0,1,0,47.0,0,0,52.0,0,0,1
111,0,3,1,14.5,1,0,14.4542,1,2,0
112,0,3,0,22.0,0,0,8.05,0,0,1
113,0,3,1,20.0,1,0,9.825,0,1,0
114,0,3,1,17.0,0,0,14.4583,1,1,1
115,0,3,0,21.0,0,0,7.925,0,0,1
116,0,3,0,70.5,0,0,7.75,2,0,1
117,0,2,0,29.0,1,0,21.0,0,0,0
118,0,1,0,24.0,0,1,247.5208,1,0,0
119,0,3,1,2.0,4,2,31.275,0,2,0
120,0,2,0,21.0,2,0,73.5,0,0,0
121,0,3,0,28.0,0,0,8.05,0,0,1
122,0,2,0,32.5,1,0,30.0708,1,0,0
123,1,2,1,32.5,0,0,13.0,0,1,1
124,0,1,0,54.0,0,1,77.2875,0,0,0
125,1,3,0,12.0,1,0,11.2417,1,2,0
126,0,3,0,28.0,0,0,7.75,2,0,1
127,1,3,0,24.0,0,0,7.1417,0,0,1
128,1,3,1,28.0,1,1,22.3583,1,1,0
129,0,3,0,45.0,0,0,6.975,0,0,1
130,0,3,0,33.0,0,0,7.8958,1,0,1
131,0,3,0,20.0,0,0,7.05,0,0,1
132,0,3,1,47.0,1,0,14.5,0,1,0
133,1,2,1,29.0,1,0,26.0,0,1,0
134,0,2,0,25.0,0,0,13.0,0,0,1
135,0,2,0,23.0,0,0,15.0458,1,0,1
136,1,1,1,19.0,0,2,26.2833,0,1,0
137,0,1,0,37.0,1,0,53.1,0,0,0
138,0,3,0,16.0,0,0,9.2167,0,0,1
139,0,1,0,24.0,0,0,79.2,1,0,1
140,0,3,1,28.0,0,2,15.2458,1,1,0
141,1,3,1,22.0,0,0,7.75,0,1,1
142,1,3,1,24.0,1,0,15.85,0,1,0
143,0,3,0,19.0,0,0,6.75,2,0,1
144,0,2,0,18.0,0,0,11.5,0,0,1
145,0,2,0,19.0,1,1,36.75,0,0,0
146,1,3,0,27.0,0,0,7.7958,0,0,1
147,0,3,1,9.0,2,2,34.375,0,2,0
148,0,2,0,36.5,0,2,26.0,0,0,0
149,0,2,0,42.0,0,0,13.0,0,0,1
150,0,2,0,51.0,0,0,12.525,0,0,1
151,1,1,1,22.0,1,0,66.6,0,1,0
